# Beacon Broadband RFC 8805 Geofeed
# ip_prefix,alpha2code,region,city,postal_code
74.85.208.0/21,US,US-OR,Brookings,
74.85.216.0/21,US,US-OR,Harbor,
216.205.96.0/22,US,US-OR,Brookings,
216.205.100.0/22,US,US-OR,Gold Beach,
216.205.104.0/22,US,US-OR,Nesika Beach,
216.204.108.0/22,US,US-OR,Port Orford,
206.204.224.0/24,US,US-OR,Gold Beach,
206.204.225.0/24,US,US-OR,Brookings,
206.204.226.0/23,US,US-OR,Port Orford,
206.204.228.0/22,US,US-OR,Bandon,
206.204.232.0/22,US,US-OR,Coquille,
206.204.236.0/23,US,US-OR,Myrtle Point,
206.204.238.0/24,US,US-OR,Coos Bay,
206.204.239.0/24,US,US-OR,Gold Beach,
2606:67C0::/32,US,US-OR,Brookings,
